iter	Passed	Remaining
1431	3949	6254
1432	3952	6252
1433	3954	6249
1434	3957	6245
1435	3959	6242
1436	3962	6239
1437	3964	6236
1438	3966	6232
1439	3969	6229
1440	3971	6226
1441	3974	6223
1442	3976	6220
1443	3979	6217
1444	3982	6214
1445	3984	6211
1446	3987	6208
1447	3989	6204
1448	3992	6201
1449	3994	6198
1450	3997	6196
1451	4000	6193
1452	4003	6190
1453	4005	6187
1454	4008	6184
1455	4010	6181
1456	4013	6178
1457	4016	6176
1458	4019	6173
1459	4021	6169
1460	4023	6166
1461	4026	6163
1462	4029	6161
1463	4032	6158
1464	4035	6156
1465	4038	6154
1466	4041	6151
1467	4044	6148
1468	4046	6146
1469	4049	6143
1470	4053	6141
1471	4055	6138
1472	4058	6135
1473	4060	6132
1474	4063	6129
1475	4065	6125
1476	4067	6122
1477	4070	6119
1478	4072	6115
1479	4075	6112
1480	4077	6109
1481	4080	6106
1482	4082	6103
1483	4085	6100
1484	4087	6097
1485	4090	6094
1486	4093	6091
1487	4096	6088
1488	4098	6085
1489	4101	6082
1490	4104	6080
1491	4106	6077
1492	4108	6073
1493	4111	6070
1494	4113	6067
1495	4116	6064
1496	4118	6061
1497	4121	6057
1498	4123	6054
1499	4126	6051
1500	4128	6048
1501	4131	6046
1502	4134	6042
1503	4136	6039
1504	4138	6036
1505	4141	6033
1506	4143	6029
1507	4146	6026
1508	4148	6023
1509	4150	6020
1510	4153	6016
1511	4155	6013
1512	4157	6010
1513	4160	6006
1514	4162	6003
1515	4165	6001
1516	4168	5998
1517	4171	5995
1518	4173	5992
1519	4176	5989
1520	4179	5986
1521	4181	5984
1522	4187	5985
1523	4189	5982
1524	4192	5979
1525	4195	5977
1526	4198	5973
1527	4200	5970
1528	4202	5967
1529	4205	5964
1530	4207	5961
1531	4210	5957
1532	4212	5954
1533	4215	5951
1534	4217	5948
1535	4219	5945
1536	4222	5942
1537	4224	5938
1538	4227	5935
1539	4231	5934
1540	4233	5931
1541	4236	5928
1542	4239	5925
1543	4241	5923
1544	4244	5920
1545	4246	5916
1546	4248	5913
1547	4251	5910
1548	4254	5907
1549	4256	5904
1550	4259	5901
1551	4263	5900
1552	4265	5897
1553	4268	5894
1554	4270	5891
1555	4273	5888
1556	4275	5884
1557	4278	5881
1558	4280	5878
1559	4283	5875
1560	4286	5873
1561	4289	5871
1562	4292	5868
1563	4295	5865
1564	4297	5863
1565	4301	5861
1566	4303	5858
1567	4306	5855
1568	4309	5853
1569	4311	5849
1570	4314	5846
1571	4317	5844
1572	4319	5841
1573	4322	5838
1574	4325	5835
1575	4328	5833
1576	4332	5832
1577	4334	5829
1578	4337	5826
1579	4340	5824
1580	4342	5820
1581	4345	5817
1582	4348	5815
1583	4351	5812
1584	4354	5809
1585	4356	5807
1586	4359	5804
1587	4362	5801
1588	4364	5798
1589	4367	5795
1590	4370	5792
1591	4372	5789
1592	4375	5786
1593	4379	5786
1594	4382	5783
1595	4385	5781
1596	4388	5778
1597	4390	5775
1598	4392	5772
1599	4395	5768
1600	4397	5765
1601	4400	5762
1602	4402	5759
1603	4405	5756
1604	4407	5753
1605	4410	5750
1606	4413	5747
1607	4415	5745
1608	4418	5742
1609	4421	5739
1610	4424	5736
1611	4426	5733
1612	4428	5730
1613	4431	5727
1614	4433	5724
1615	4436	5721
1616	4438	5718
1617	4441	5714
1618	4443	5711
1619	4446	5709
1620	4448	5705
1621	4451	5702
1622	4453	5699
1623	4456	5696
1624	4458	5693
1625	4461	5690
1626	4463	5687
1627	4465	5683
1628	4468	5680
1629	4470	5677
1630	4472	5674
1631	4475	5670
1632	4477	5667
1633	4480	5664
1634	4482	5661
1635	4484	5658
1636	4487	5655
1637	4490	5652
1638	4493	5649
1639	4495	5647
1640	4498	5644
1641	4500	5641
1642	4503	5638
1643	4506	5635
1644	4509	5633
1645	4513	5632
1646	4516	5629
1647	4519	5627
1648	4522	5624
1649	4524	5621
1650	4528	5619
1651	4531	5617
1652	4533	5614
1653	4536	5611
1654	4539	5609
1655	4541	5606
1656	4544	5602
1657	4547	5600
1658	4550	5597
1659	4552	5594
1660	4555	5591
1661	4557	5589
1662	4560	5586
1663	4563	5583
1664	4566	5581
1665	4569	5578
1666	4571	5575
1667	4574	5572
1668	4577	5570
1669	4580	5567
1670	4583	5565
1671	4586	5562
1672	4588	5559
1673	4591	5556
1674	4593	5553
1675	4596	5550
1676	4598	5547
1677	4601	5544
1678	4604	5541
1679	4606	5539
1680	4609	5536
1681	4612	5533
1682	4615	5530
1683	4618	5528
1684	4621	5526
1685	4623	5523
1686	4626	5520
1687	4628	5517
1688	4631	5514
1689	4634	5511
1690	4636	5508
1691	4639	5505
1692	4642	5503
1693	4644	5500
1694	4647	5497
1695	4650	5494
1696	4652	5491
1697	4655	5489
